"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年8月9日","1,497.61","1,443.87","1,509.87","1,443.30","1.69B","3.44%"
"2018年8月8日","1,447.76","1,475.32","1,480.28","1,446.81","1.31B","-2.14%"
"2018年8月7日","1,479.44","1,445.62","1,482.03","1,435.09","1.41B","2.68%"
"2018年8月6日","1,440.80","1,471.36","1,485.85","1,434.79","1.45B","-2.75%"
"2018年8月3日","1,481.61","1,512.57","1,523.24","1,481.61","1.25B","-1.89%"
"2018年8月2日","1,510.09","1,538.28","1,538.94","1,484.48","1.85B","-2.06%"
"2018年8月1日","1,541.86","1,568.12","1,580.84","1,541.86","1.43B","-1.24%"
"2018年7月31日","1,561.26","1,557.60","1,571.87","1,551.09","1.36B","0.10%"
"2018年7月30日","1,559.64","1,593.60","1,596.73","1,554.04","1.55B","-2.19%"
"2018年7月27日","1,594.57","1,601.27","1,607.30","1,590.43","1.76B","-0.72%"
"2018年7月26日","1,606.12","1,631.46","1,635.05","1,601.46","2.10B","-1.61%"
"2018年7月25日","1,632.32","1,629.13","1,645.44","1,626.09","1.98B","0.17%"
"2018年7月24日","1,629.61","1,615.72","1,641.97","1,607.54","2.20B","0.53%"
"2018年7月23日","1,620.97","1,592.24","1,621.17","1,589.64","1.94B","0.71%"
"2018年7月20日","1,609.55","1,589.31","1,615.06","1,578.80","1.70B","1.23%"
"2018年7月19日","1,590.06","1,607.93","1,619.39","1,582.97","1.68B","-1.11%"
"2018年7月18日","1,607.88","1,622.29","1,635.91","1,607.88","1.94B","-0.85%"
"2018年7月17日","1,621.63","1,615.84","1,622.09","1,597.88","1.83B","0.29%"
"2018年7月16日","1,616.91","1,614.56","1,624.33","1,605.21","1.81B","-0.10%"
"2018年7月13日","1,618.46","1,612.19","1,626.27","1,608.60","2.09B","0.24%"
"2018年7月12日","1,614.63","1,563.79","1,620.64","1,563.79","2.44B","3.30%"
"2018年7月11日","1,563.01","1,562.59","1,577.17","1,540.70","1.64B","-1.88%"
"2018年7月10日","1,592.98","1,583.74","1,594.00","1,577.39","1.34B","0.70%"
"2018年7月9日","1,581.93","1,546.01","1,582.53","1,546.01","1.45B","2.64%"
"2018年7月6日","1,541.31","1,532.05","1,571.02","1,517.06","1.67B","0.56%"
"2018年7月5日","1,532.68","1,560.98","1,576.99","1,532.43","1.22B","-2.10%"
"2018年7月4日","1,565.61","1,595.89","1,596.00","1,557.54","1.38B","-2.58%"
"2018年7月3日","1,607.12","1,589.50","1,613.83","1,558.00","1.68B","1.18%"
"2018年7月2日","1,588.37","1,605.21","1,614.34","1,572.56","1.49B","-1.14%"
"2018年6月29日","1,606.71","1,547.15","1,609.73","1,547.15","1.70B","4.08%"
"2018年6月28日","1,543.66","1,544.64","1,570.90","1,540.89","1.36B","-0.17%"
"2018年6月27日","1,546.23","1,564.29","1,572.61","1,542.52","1.31B","-1.19%"
"2018年6月26日","1,564.92","1,518.50","1,570.28","1,515.27","1.50B","1.71%"
"2018年6月25日","1,538.57","1,563.74","1,566.78","1,537.27","1.23B","-0.72%"
"2018年6月22日","1,549.66","1,514.04","1,555.72","1,506.62","1.30B","1.84%"
"2018年6月21日","1,521.68","1,562.37","1,570.60","1,521.56","1.50B","-2.69%"
"2018年6月20日","1,563.79","1,540.61","1,577.62","1,525.29","1.57B","1.08%"
"2018年6月19日","1,547.15","1,612.90","1,626.87","1,532.32","1.74B","-5.76%"
"2018年6月15日","1,641.66","1,673.90","1,681.89","1,636.70","1.29B","-1.89%"
"2018年6月14日","1,673.32","1,682.84","1,702.69","1,669.38","1.13B","-0.75%"
"2018年6月13日","1,685.89","1,711.53","1,711.53","1,685.89","1.11B","-1.57%"
"2018年6月12日","1,712.77","1,692.67","1,715.66","1,681.00","1.18B","1.43%"
"2018年6月11日","1,688.62","1,707.14","1,708.20","1,684.31","1.09B","-1.34%"
"2018年6月8日","1,711.52","1,726.30","1,727.49","1,698.25","1.23B","-1.09%"
"2018年6月7日","1,730.38","1,747.93","1,750.51","1,728.06","1.24B","-0.74%"
"2018年6月6日","1,743.25","1,744.17","1,751.97","1,735.37","1.32B","-0.16%"
"2018年6月5日","1,746.11","1,702.37","1,747.75","1,702.37","1.37B","2.54%"
"2018年6月4日","1,702.93","1,709.57","1,715.41","1,690.99","1.24B","-0.39%"
"2018年6月1日","1,709.55","1,734.35","1,744.01","1,699.68","1.22B","-1.96%"
"2018年5月31日","1,743.74","1,741.33","1,748.53","1,714.85","1.41B","1.01%"
"2018年5月30日","1,726.22","1,744.24","1,758.87","1,724.28","1.66B","-2.67%"
"2018年5月29日","1,773.65","1,795.72","1,815.20","1,773.62","1.38B","-1.29%"
"2018年5月28日","1,796.91","1,804.78","1,815.22","1,788.03","1.41B","-0.42%"
"2018年5月25日","1,804.55","1,835.41","1,841.64","1,804.55","1.61B","-1.84%"
"2018年5月24日","1,838.40","1,847.81","1,855.99","1,837.44","1.36B","-0.41%"
"2018年5月23日","1,845.97","1,869.50","1,876.20","1,845.81","1.46B","-1.60%"
"2018年5月22日","1,876.00","1,860.63","1,876.16","1,858.11","1.46B","0.73%"
"2018年5月21日","1,862.48","1,845.76","1,870.57","1,845.76","1.68B","1.40%"
"2018年5月18日","1,836.75","1,829.06","1,839.00","1,812.66","1.21B","0.30%"
"2018年5月17日","1,831.20","1,845.28","1,851.12","1,826.23","1.10B","-0.84%"
"2018年5月16日","1,846.67","1,850.01","1,862.29","1,845.09","1.34B","-0.61%"
"2018年5月15日","1,858.01","1,830.84","1,858.99","1,825.50","1.54B","1.48%"
"2018年5月14日","1,830.98","1,835.70","1,844.65","1,825.69","1.67B","-0.21%"
"2018年5月11日","1,834.78","1,866.93","1,870.00","1,834.78","1.58B","-1.64%"
"2018年5月10日","1,865.36","1,857.99","1,866.82","1,846.11","1.51B","0.51%"
"2018年5月9日","1,855.81","1,853.83","1,861.94","1,845.90","1.33B","-0.06%"
"2018年5月8日","1,856.87","1,852.69","1,857.95","1,842.63","1.54B","0.24%"
"2018年5月7日","1,852.34","1,819.67","1,854.30","1,819.02","1.62B","2.07%"
"2018年5月4日","1,814.85","1,821.02","1,832.96","1,812.07","1.40B","-0.65%"
"2018年5月3日","1,826.79","1,797.12","1,827.77","1,767.60","1.83B","1.40%"
