,0
0,['20180313']
1,['20180313']
2,['20180314']
3,['20180315']
4,['20180319']
5,['20180319']
6,['20180320']
7,['20180321']
8,['20180322']
9,['20180323']
10,['20180326']
11,['20180328']
12,['20180328']
13,['20180329']
14,['20180330']
15,['20180402']
16,['20180403']
17,['20180404']
18,['20180409']
19,['20180410']
20,['20180411']
21,['20180412']
22,['20180413']
23,['20180416']
24,['20180417']
25,['20180418']
26,['20180419']
27,['20180420']
28,['20180425']
29,['20180425']
30,['20180426']
31,['20180427']
32,['20180504']
33,['20180504']
34,['20180508']
35,['20180508']
36,['20180509']
37,['20180510']
38,['20180511']
39,['20180514']
40,['20180515']
41,['20180516']
42,['20180517']
43,['20180518']
44,['20180521']
45,['20180522']
46,['20180523']
47,['20180524']
48,['20180525']
49,['20180528']
50,['20180529']
51,['20180530']
52,['20180601']
53,['20180601']
54,['20180604']
55,['20180606']
56,['20180606']
57,['20180607']
58,['20180608']
59,['20180611']
60,['20180612']
61,['20180613']
62,['20180614']
63,['20180615']
64,['20180619']
65,['20180704']
66,['20180704']
67,['20180705']
68,['20180706']
69,['20180709']
70,['20180710']
71,['20180711']
72,['20180716']
73,['20180716']
74,['20180717']
75,['20180718']
76,['20180719']
77,['20180720']
78,['20180723']
79,['20180724']
80,['20180725']
81,['20180726']
82,['20180727']
83,['20180730']
84,['20180731']
85,['20180801']
86,['20180802']
87,['20180803']
88,['20180806']
89,['20180808']
90,['20180808']
91,['20180809']
92,['20180810']
93,['20180813']
94,['20180814']
95,['20180815']
96,['20180816']
97,['20180817']
98,['20180821']
99,['20180821']
100,['20180822']
101,['20180828']
102,['20180828']
103,['20180829']
104,['20180830']
105,['20180831']
106,['20180903']
107,['20180904']
108,['20180905']
109,['20180906']
110,['20180907']
111,['20180910']
112,['20180911']
113,['20180912']
114,['20180913']
115,['20180914']
116,['20180917']
117,['20180918']
118,['20180919']
119,['20180920']
120,['20180921']
121,['20180925']
122,['20180926']
123,['20180927']
124,['20180928']
125,['20181008']
126,['20181010']
127,['20181010']
128,['20181011']
129,['20181015']
130,['20181015']
131,['20181016']
132,['20181018']
133,['20181018']
134,['20181019']
135,['20181023']
136,['20181023']
137,['20181024']
138,['20181025']
139,['20181026']
140,['20181029']
141,['20181113']
142,['20181113']
143,['20181114']
144,['20181115']
145,['20181116']
146,['20181119']
147,['20181120']
148,['20181121']
149,['20181122']
150,['20181123']
151,['20181129']
152,['20181129']
153,['20181130']
154,['20181205']
155,['20181205']
156,['20181206']
157,['20181207']
158,['20181210']
159,['20181214']
160,['20181214']
161,['20181218']
162,['20181218']
163,['20181219']
164,['20181220']
165,['20181221']
166,['20181225']
167,['20181225']
168,['20181226']
169,['20181227']
170,['20181228']
171,['20190102']
172,['20190103']
173,['20190104']
174,['20190107']
175,['20190108']
176,['20190109']
177,['20190110']
178,['20190111']
179,['20190114']
180,['20190116']
181,['20190116']
182,['20190117']
183,['20190118']
184,['20190121']
185,['20190122']
186,['20190124']
187,['20190124']
188,['20190125']
189,['20190128']
190,['20190129']
191,['20190130']
192,['20190131']
193,['20190218']
194,['20190219']
195,['20190219']
196,['20190220']
197,['20190221']
198,['20190222']
199,['20190225']
200,['20190226']
201,['20190227']
202,['20190228']
203,['20190301']
204,['20190304']
205,['20190306']
206,['20190306']
207,['20190307']
208,['20190308']
209,['20190312']
210,['20190312']
211,['20190313']
212,['20190314']
213,['20190315']
214,['20190318']
215,['20190319']
216,['20190320']
217,['20190321']
218,['20190322']
219,['20190325']
220,['20190326']
221,['20190328']
222,['20190328']
223,['20190401']
224,['20190401']
225,['20190402']
226,['20190403']
227,['20190404']
228,['20190408']
229,['20190409']
230,['20190410']
231,['20190411']
232,['20190412']
233,['20190415']
234,['20190417']
235,['20190417']
236,['20190418']
237,['20190419']
238,['20190422']
239,['20190423']
240,['20190424']
241,['20190425']
242,['20190426']
243,['20190429']
244,['20190506']
245,['20190506']
246,['20190509']
247,['20190509']
248,['20190510']
249,['20190513']
250,['20190514']
251,['20190515']
252,['20190516']
253,['20190517']
254,['20190521']
255,['20190521']
256,['20190522']
257,['20190523']
258,['20190524']
259,['20190527']
260,['20190528']
261,['20190529']
262,['20190530']
263,['20190531']
264,['20190603']
265,['20190604']
266,['20190605']
267,['20190606']
268,['20190611']
269,['20190612']
270,['20190612']
271,['20190613']
272,['20190614']
273,['20190617']
274,['20190618']
275,['20190619']
276,['20190701']
277,['20190702']
278,['20190702']
279,['20190703']
280,['20190704']
281,['20190708']
282,['20190708']
283,['20190717']
284,['20190717']
285,['20190718']
286,['20190722']
287,['20190722']
288,['20190723']
289,['20190724']
290,['20190725']
291,['20190726']
292,['20190729']
293,['20190730']
294,['20190731']
295,['20190801']
296,['20190802']
297,['20190805']
298,['20190806']
299,['20190807']
300,['20190808']
301,['20190809']
302,['20190812']
303,['20190813']
304,['20190814']
305,['20190815']
306,['20190816']
307,['20190820']
308,['20190820']
309,['20190821']
310,['20190822']
311,['20190823']
312,['20190826']
313,['20190827']
314,['20190828']
315,['20190829']
316,['20190830']
317,['20190903']
318,['20190903']
319,['20190904']
320,['20190905']
321,['20190906']
322,['20190909']
323,['20190910']
324,['20190911']
325,['20190912']
326,['20190916']
327,['20190917']
328,['20190919']
329,['20190920']
330,['20190920']
331,['20190923']
332,['20190924']
333,['20190925']
334,['20190926']
335,['20190927']
336,['20190930']
